Description,Unit,Unit Price,,,,,,,,
Remove Laminated - comp. shingle rfg. - w/out felt,SQ,67.4,,,,,,,,
Laminated - comp. shingle rfg. - w/out felt,SQ,249.37,,,,,,,,
Remove 3 tab - 25 yr. - comp. shingle roofing - w/out felt,SQ,65.96,,,,,,,,
3 tab - 25 yr. - comp. shingle roofing - w/out felt,SQ,235.6,,,,,,,,
Remove 3 tab - 25 yr. - composition shingle roofing - incl. felt,SQ,65.96,,,,,,,,
3 tab - 25 yr. - composition shingle roofing - incl. felt,SQ,268.6,,,,,,,,
Remove Laminated - comp. shingle rfg. - w/ felt,SQ,67.4,,,,,,,,
Laminated - comp. shingle rfg. - w/ felt,SQ,284.64,,,,,,,,
Tear off haul and dispose of comp. shingles - 3 tab,SQ,65.96,,,,,,,,
Remove 3 tab - 25 yr. - composition shingle roofing (per SHINGLE),EA,6.89,,,,,,,,
3 tab - 25 yr. - composition shingle roofing (per SHINGLE),EA,16.39,,,,,,,,
Remove Laminated - comp. shingle rfg (per SHINGLE),EA,6.89,,,,,,,,
Laminated - comp. shingle rfg (per SHINGLE),EA,16.56,,,,,,,,
Tear off haul and dispose of comp. shingles - Laminated,SQ,67.4,,,,,,,,
Tear off composition shingles - 3 tab (no haul off),SQ,47.43,,,,,,,,
Tear off composition shingles - Laminated (no haul off),SQ,47.43,,,,,,,,
Add. layer of comp. shingles remove & disp. - Laminated,SQ,41.69,,,,,,,,
Add. layer of comp. shingles remove & disp. - 3 tab,SQ,40.25,,,,,,,,
Additional layer of comp. shingles remove (no haul off),SQ,29.83,,,,,,,,
Roofing felt - 15 lb.,SQ,34.68,,,,,,,,
Roofing felt - 30 lb.,SQ,42.64,,,,,,,,
Roofing felt - 15 lb. - double coverage/low slope,SQ,61.44,,,,,,,,
Roofing felt - 30 lb. - double coverage/low slope,SQ,76.55,,,,,,,,
Roofing felt - synthetic underlayment - Standard grade,SQ,36.82,,,,,,,,
Roofing felt - synthetic underlayment,SQ,47.68,,,,,,,,
Roofing felt-synthetic- Std. grade- dbl coverage/low slope,SQ,64.96,,,,,,,,
Roofing felt - synthetic und. - double coverage/low slope,SQ,84.99,,,,,,,,
Ice & water barrier,SF,1.63,,,,,,,,
Ice & water barrier - High temp - no material waste incl.,SF,1.89,,,,,,,,
Ice & water barrier - High temp,SF,1.93,,,,,,,,
Ice & water barrier - no material waste included,SF,1.61,,,,,,,,
Asphalt starter - universal starter course,LF,1.73,,,,,,,,
Asphalt starter - peel and stick,LF,1.81,,,,,,,,
Asphalt starter - laminated double layer starter,LF,4.25,,,,,,,,
Add. layer of felt/underlayment remove (no haul off),SQ,7.43,,,,,,,,
Add. layer of felt/underlayment remove & disp.,SQ,8.89,,,,,,,,
Remove Gable cornice return - 3 tab,EA,15.82,,,,,,,,
Gable cornice return - 3 tab,EA,78.25,,,,,,,,
Remove Gable cornice return - 3 tab - 2 stories or greater,EA,17.25,,,,,,,,
Gable cornice return - 3 tab - 2 stories or greater,EA,95.92,,,,,,,,
Remove Gable cornice return - laminated,EA,15.82,,,,,,,,
Gable cornice return - laminated,EA,78.87,,,,,,,,
Remove Gable cornice return - laminated - 2 stories or greater,EA,17.25,,,,,,,,
Gable cornice return - laminated - 2 stories or greater,EA,96.54,,,,,,,,
Remove Gable cornice strip - 3 tab,LF,2.71,,,,,,,,
Gable cornice strip - 3 tab,LF,12.6,,,,,,,,
Remove Gable cornice strip - 3 tab - 2 stories or greater,LF,3.16,,,,,,,,
Gable cornice strip - 3 tab - 2 stories or greater,LF,14.8,,,,,,,,
Remove Gable cornice strip - laminated,LF,2.71,,,,,,,,
Gable cornice strip - laminated,LF,13.29,,,,,,,,
Remove Gable cornice strip - laminated - 2 stories or greater,LF,3.16,,,,,,,,
Gable cornice strip - laminated - 2 stories or greater,LF,15.49,,,,,,,,
Remove Hip / Ridge cap - High profile - composition shingles,LF,2.73,,,,,,,,
Hip / Ridge cap - High profile - composition shingles,LF,6.47,,,,,,,,
Remove Hip / Ridge cap - cut from 3 tab - composition shingles,LF,2.73,,,,,,,,
Hip / Ridge cap - cut from 3 tab - composition shingles,LF,4.47,,,,,,,,
Remove Hip / Ridge cap - Standard profile - composition shingles,LF,2.73,,,,,,,,
Hip / Ridge cap - Standard profile - composition shingles,LF,5.57,,,,,,,,
Continuous ridge vent - Detach & reset,LF,7.86,,,,,,,,
Remove Continuous ridge vent - shingle-over style,LF,1.07,,,,,,,,
Continuous ridge vent - shingle-over style,LF,9.8,,,,,,,,
Remove Continuous ridge vent - aluminum,LF,1.07,,,,,,,,
Continuous ridge vent - aluminum,LF,9.27,,,,,,,,
Remove Counterflashing - Apron flashing,LF,0.74,,,,,,,,
Counterflashing - Apron flashing,LF,10.26,,,,,,,,
Remove Valley metal,LF,0.74,,,,,,,,
Valley metal,LF,6.07,,,,,,,,
Remove Valley metal - (W) profile,LF,0.74,,,,,,,,
Valley metal - (W) profile,LF,6.86,,,,,,,,
Remove Flue cap,EA,21.09,,,,,,,,
