Description,Unit,Unit Price,,,,,,,,
Laminated - comp. shingle rfg. - w/out felt,SQ,77.13,,,,,,,,
Laminated - comp. shingle rfg. - w/out felt,SQ,282,,,,,,,,
3 tab - 25 yr. - comp. shingle roofing - w/out felt,SQ,74.52,,,,,,,,
3 tab - 25 yr. - comp. shingle roofing - w/out felt,SQ,263.22,,,,,,,,
3 tab - 25 yr. - composition shingle roofing - incl. felt,SQ,74.52,,,,,,,,
3 tab - 25 yr. - composition shingle roofing - incl. felt,SQ,301.24,,,,,,,,
Laminated - comp. shingle rfg. - w/ felt,SQ,77.13,,,,,,,,
Laminated - comp. shingle rfg. - w/ felt,SQ,322.92,,,,,,,,
Tear off,haul and dispose of comp. shingles - 3 tab,0,,,,,,,,
3 tab - 25 yr. - composition shingle roofing (per SHINGLE),EA,8.78,,,,,,,,
3 tab - 25 yr. - composition shingle roofing (per SHINGLE),EA,20.11,,,,,,,,
Laminated - comp. shingle rfg (per SHINGLE),EA,8.78,,,,,,,,
Laminated - comp. shingle rfg (per SHINGLE),EA,20.35,,,,,,,,
Tear off,haul and dispose of comp. shingles - Laminated,0,,,,,,,,
Tear off composition shingles - 3 tab (no haul off),SQ,50.34,,,,,,,,
Tear off composition shingles - Laminated (no haul off),SQ,50.34,,,,,,,,
Add. layer of comp. shingles,remove & disp. - Laminated,0,,,,,,,,
Add. layer of comp. shingles,remove & disp. - 3 tab,0,,,,,,,,
Additional layer of comp. shingles,remove (no haul off),0,,,,,,,,
Roofing felt - 15 lb.,SQ,40.16,,,,,,,,
Roofing felt - 30 lb.,SQ,46.64,,,,,,,,
Roofing felt - 15 lb. - double coverage/low slope,SQ,70.79,,,,,,,,
Roofing felt - 30 lb. - double coverage/low slope,SQ,83.07,,,,,,,,
Roofing felt - synthetic underlayment - Standard grade,SQ,44.58,,,,,,,,
Roofing felt - synthetic underlayment,SQ,56.19,,,,,,,,
Roofing felt-synthetic- Std. grade- dbl coverage/low slope,SQ,78.59,,,,,,,,
Roofing felt - synthetic und. - double coverage/low slope,SQ,100.01,,,,,,,,
Ice & water barrier,SF,1.96,,,,,,,,
Ice & water barrier - High temp - no material waste incl.,SF,2.14,,,,,,,,
Ice & water barrier - High temp,SF,2.18,,,,,,,,
Ice & water barrier - no material waste included,SF,1.93,,,,,,,,
Asphalt starter - universal starter course,LF,2.09,,,,,,,,
Asphalt starter - peel and stick,LF,2.19,,,,,,,,
Asphalt starter - laminated double layer starter,LF,4.87,,,,,,,,
Add. layer of felt/underlayment,remove (no haul off),0,,,,,,,,
Add. layer of felt/underlayment,remove & disp.,0,,,,,,,,
Gable cornice return - 3 tab,EA,114.44,,,,,,,,
Gable cornice return - 3 tab - 2 stories or greater,EA,138.55,,,,,,,,
Gable cornice return - laminated,EA,115.29,,,,,,,,
Gable cornice return - laminated - 2 stories or greater,EA,139.4,,,,,,,,
Gable cornice strip - 3 tab,LF,17.8,,,,,,,,
Gable cornice strip - 3 tab - 2 stories or greater,LF,21.12,,,,,,,,
Gable cornice strip - laminated,LF,18.6,,,,,,,,
Gable cornice strip - laminated - 2 stories or greater,LF,21.92,,,,,,,,
Hip / Ridge cap - High profile - composition shingles,LF,10.76,,,,,,,,
Hip / Ridge cap - cut from 3 tab - composition shingles,LF,8.72,,,,,,,,
Hip / Ridge cap - Standard profile - composition shingles,LF,9.87,,,,,,,,
Continuous ridge vent - Detach & reset,LF,10.04,,,,,,,,
Continuous ridge vent - shingle-over style,LF,12.4,,,,,,,,
Continuous ridge vent - aluminum,LF,11.87,,,,,,,,
Counterflashing - Apron flashing,LF,13.32,,,,,,,,
Valley metal,LF,7.84,,,,,,,,
Valley metal - (W) profile,LF,8.63,,,,,,,,
Flue cap,EA,146.7,,,,,,,,
Prime & paint roof jack,EA,51.7,,,,,,,,
Prime & paint roof vent,EA,51.7,,,,,,,,
Tarp - all-purpose poly - per sq ft (labor and material),SF,1.32,,,,,,,,
Furnace vent - rain cap and storm collar,5",0,,,,,,,,
Furnace vent - rain cap and storm collar,6",0,,,,,,,,
Roof vent - turtle type - Detach & reset,EA,72.71,,,,,,,,
Roof vent - turtle type - Plastic,EA,80.27,,,,,,,,
Roof vent - turtle type - Metal,EA,98.17,,,,,,,,
Roof vent - Detach & reset,EA,103.67,,,,,,,,
Roof vent - off ridge type - 8',EA,299.63,,,,,,,,
Roof vent - off ridge type - 6',EA,239.26,,,,,,,,
Roof vent - off ridge type - 4',EA,172.75,,,,,,,,
Roof vent - off ridge type - 2',EA,109.71,,,,,,,,
Roof vent - dormer type - Metal,EA,106.91,,,,,,,,
Roof vent - turbine type,EA,179.98,,,,,,,,
Roof mount power attic vent - Detach & reset,EA,215.14,,,,,,,,
Roof mount power attic vent - Large,EA,362.6,,,,,,,,
Roof mount power attic vent,EA,307.08,,,,,,,,
Exhaust cap - through roof - up to 4",EA,116.83,,,,,,,,
Exhaust cap - through roof - 6" to 8",EA,128.48,,,,,,,,
Flashing - rain diverter,EA,64.6,,,,,,,,
Flashing - kick-out diverter,EA,37.65,,,,,,,,
Flashing - pipe jack - copper,EA,112.8,,,,,,,,
Flashing - pipe jack - lead,EA,103.2,,,,,,,,
Flashing - pipe jack - 6",EA,84.59,,,,,,,,
Flashing - pipe jack - 8",EA,96.06,,,,,,,,
Flashing - pipe jack - split boot,EA,107.28,,,,,,,,
Meter mast for overhead power - Detach & reset,EA,802.68,,,,,,,,
Power attic vent cover only - metal,EA,130.4,,,,,,,,
Power attic vent cover only - plastic,EA,118.66,,,,,,,,
Power attic vent cover only - Detach & reset,EA,79.26,,,,,,,,
Rain cap - 10",EA,99.55,,,,,,,,
Rain cap - 12",EA,108.59,,,,,,,,
Rain cap - 4" to 5",EA,61.79,,,,,,,,
Rain cap - 6",EA,68.81,,,,,,,,
Rain cap - 8",EA,75.59,,,,,,,,
Step flashing,LF,12.5,,,,,,,,
Aluminum sidewall/endwall flashing - mill finish,LF,8.51,,,,,,,,
Flashing - L flashing - galvanized,LF,6.61,,,,,,,,
Flashing,14" wide,0,,,,,,,,
Flashing - pipe jack,EA,68.41,,,,,,,,
Flashing,14" wide - copper,0,,,,,,,,
Flashing,20" wide,0,,,,,,,,
Evaporative cooler - Detach & reset,EA,616.21,,,,,,,,
Television antenna - Detach & reset,EA,153.56,,,,,,,,
Digital satellite system - Detach & reset,EA,55.1,,,,,,,,
Chimney flashing - small (24" x 24"),EA,418.04,,,,,,,,
Saddle or cricket - up to 25 SF,EA,232.26,,,,,,,,
Saddle or cricket - 26 to 50 SF,EA,391.91,,,,,,,,
Chimney flashing - average (32" x 36"),EA,536.02,,,,,,,,
Chimney flashing - large (32" x 60"),EA,711.06,,,,,,,,
Skylight flashing kit - dome,EA,146.26,,,,,,,,
Skylight flashing kit - dome - High grade,EA,156.88,,,,,,,,
Skylight flashing kit - dome - Large - High grade,EA,219.47,,,,,,,,
Skylight flashing kit - dome - Large,EA,165.67,,,,,,,,
Roof window step flashing kit,EA,194.74,,,,,,,,
Skylight - flat fixed,9.1 - 10 sf,0,,,,,,,,
Roof window step flashing kit - Large,EA,229.95,,,,,,,,
Roof window (skylight),12.1 - 15 sf,0,,,,,,,,
Skylight - double dome fixed,6.6 - 9 sf,0,,,,,,,,
Skylight - double dome fixed,4 - 6.5 sf,0,,,,,,,,
Skylight - double dome fixed,9.1 - 12.5 sf,0,,,,,,,,
Skylight - double dome fixed,12.6 - 15.5 sf,0,,,,,,,,
Skylight - double dome venting,6.6 - 9 sf,0,,,,,,,,
Skylight - double dome venting,4 - 6.5 sf,0,,,,,,,,
Skylight - double dome venting,9.1 - 12.5 sf,0,,,,,,,,
Skylight - double dome venting,12.6 - 15.5 sf,0,,,,,,,,
Skylight - single dome fixed,6.6 - 9 sf,0,,,,,,,,
Skylight - single dome fixed,4 - 6.5 sf,0,,,,,,,,
Skylight - single dome fixed,9.1 - 12.5 sf,0,,,,,,,,
Skylight - single dome fixed,12.6 - 15.5 sf,0,,,,,,,,
Skylight - single dome venting,6.6 - 9 sf,0,,,,,,,,
Skylight - single dome venting,4 - 6.5 sf,0,,,,,,,,
Skylight - single dome venting,9.1 - 12.5 sf,0,,,,,,,,
Skylight - single dome venting,12.6 - 15.5 sf,0,,,,,,,,
Skylight - flat fixed,6.1 - 9 sf,0,,,,,,,,
Skylight - flat fixed,up to 6 sf,0,,,,,,,,
Skylight - flat fixed,10.1 - 12 sf,0,,,,,,,,
Skylight - flat fixed,12.1 - 15 sf,0,,,,,,,,
Roof window (skylight),6.1 - 9 sf,0,,,,,,,,
Roof window (skylight),up to 6 sf,0,,,,,,,,
Roof window (skylight),10.1 - 12 sf,0,,,,,,,,
Gutter guard/screen,LF,4.63,,,,,,,,
Gutter guard/screen,LF,3.92,,,,,,,,
Gutter / downspout - Detach & reset,LF,5.97,,,,,,,,
Drip edge/gutter apron,LF,4,,,,,,,,
Drip edge,LF,3.71,,,,,,,,
Drip edge - copper,LF,10.78,,,,,,,,
Sheathing - additional cost for H-clips,SF,0.14,,,,,,,,
Sheathing - OSB - 1/2",SF,3.09,,,,,,,,
Sheathing - OSB - 5/8",SF,3.52,,,,,,,,
Apply roofing sealant/cement - per LF,LF,0.85,,,,,,,,
Re-nailing of roof sheathing - complete re-nail,SF,0.3,,,,,,,,
Solar electric panel - Detach & reset,EA,295.11,,,,,,,,
Electrician - per hour,HR,137.96,,,,,,,,
Solar panel- mounting hardware- Detach & reset (per panel),EA,42.62,,,,,,,,
Additional charge for steep roof - 7/12 to 9/12 slope,SQ,17.45,,,,,,,,
Additional charge for steep roof - 7/12 to 9/12 slope,SQ,52.84,,,,,,,,
Additional charge for steep roof - 10/12 - 12/12 slope,SQ,27.42,,,,,,,,
Additional charge for steep roof - 10/12 - 12/12 slope,SQ,83.08,,,,,,,,
Additional charge for steep roof greater than 12/12 slope,SQ,35.14,,,,,,,,
Additional charge for steep roof greater than 12/12 slope,SQ,108.39,,,,,,,,
Additional charge for high roof (2 stories or greater),SQ,7.09,,,,,,,,
Additional charge for high roof (2 stories or greater),SQ,25.1,,,,,,,,
Roofing - General Laborer - per hour,HR,59.4,,,,,,,,
Roofing (Agreed Price),EA,0,,,,,,,,
Roofing (Bid Item),EA,0,,,,,,,,
Single axle dump truck - per load - including dump fees,EA,343.79,,,,,,,,
Haul debris - per pickup truck load - including dump fees,EA,191.51,,,,,,,,
Dumpster load - Approx. 12 yards,1-3 tons of debris,0,,,,,,,,
Dumpster load - Approx. 20 yards,4 tons of debris,0,,,,,,,,
Dumpster load - Approx. 30 yards,5-7 tons of debris,0,,,,,,,,
Dumpster load - Approx. 40 yards,7-8 tons of debris,0,,,,,,,,
Tarp - all-purpose poly - per sq ft (labor and material),SF,0.9,,,,,,,,
Tarp - all-purpose poly - per sq ft (labor and material),SF,0.31,,,,,,,,
Roll roofing,SQ,57.91,,,,,,,,
Roll roofing,SQ,135.33,,,,,,,,
