ID,DESCRIPTION,QUANTITY,UNIT_PRICE,TAX,RCV,DEPREC,ACV
1,"Remove Laminated - comp. shingle rfg. - w/out felt",0.00,SQ,67.40,0.00,0.00,(0.00),0.00
2,"Laminated - comp. shingle rfg. - w/out felt",0.00,SQ,249.37,0.00,0.00,(0.00),0.00
3,"Remove 3 tab - 25 yr. - comp. shingle roofing - w/out felt",0.00,SQ,65.96,0.00,0.00,(0.00),0.00
4,"3 tab - 25 yr. - comp. shingle roofing - w/out felt",0.00,SQ,235.60,0.00,0.00,(0.00),0.00
5,"Remove 3 tab - 25 yr. - composition shingle roofing - incl. felt",0.00,SQ,65.96,0.00,0.00,(0.00),0.00
6,"3 tab - 25 yr. - composition shingle roofing - incl. felt",0.00,SQ,268.60,0.00,0.00,(0.00),0.00
7,"Remove Laminated - comp. shingle rfg. - w/ felt",0.00,SQ,67.40,0.00,0.00,(0.00),0.00
8,"Laminated - comp. shingle rfg. - w/ felt",0.00,SQ,284.64,0.00,0.00,(0.00),0.00
9,"Tear off, haul and dispose of comp. shingles - 3 tab",0.00,SQ,65.96,0.00,0.00,(0.00),0.00
10,"Remove 3 tab - 25 yr. - composition shingle roofing (per SHINGLE)",1.00,EA,6.89,0.00,6.89,(0.00),6.89
11,"3 tab - 25 yr. - composition shingle roofing (per SHINGLE)",1.00,EA,16.39,0.25,16.64,(0.00),16.64
12,"Remove Laminated - comp. shingle rfg (per SHINGLE)",1.00,EA,6.89,0.00,6.89,(0.00),6.89
13,"Laminated - comp. shingle rfg (per SHINGLE)",1.00,EA,16.56,0.26,16.82,(0.00),16.82
14,"Tear off, haul and dispose of comp. shingles - Laminated",0.00,SQ,67.40,0.00,0.00,(0.00),0.00
15,"Tear off composition shingles - 3 tab (no haul off)",0.00,SQ,47.43,0.00,0.00,(0.00),0.00
16,"Tear off composition shingles - Laminated (no haul off)",0.00,SQ,47.43,0.00,0.00,(0.00),0.00
17,"Add. layer of comp. shingles, remove & disp. - Laminated",0.00,SQ,41.69,0.00,0.00,(0.00),0.00
18,"Add. layer of comp. shingles, remove & disp. - 3 tab",0.00,SQ,40.25,0.00,0.00,(0.00),0.00
19,"Additional layer of comp. shingles, remove (no haul off)",0.00,SQ,29.83,0.00,0.00,(0.00),0.00
20,"Roofing felt - 15 lb.",0.00,SQ,34.68,0.00,0.00,(0.00),0.00
21,"Roofing felt - 30 lb.",0.00,SQ,42.64,0.00,0.00,(0.00),0.00
22,"Roofing felt - 15 lb. - double coverage/low slope",0.00,SQ,61.44,0.00,0.00,(0.00),0.00
23,"Roofing felt - 30 lb. - double coverage/low slope",0.00,SQ,76.55,0.00,0.00,(0.00),0.00
24,"Roofing felt - synthetic underlayment - Standard grade",0.00,SQ,36.82,0.00,0.00,(0.00),0.00
25,"Roofing felt - synthetic underlayment",0.00,SQ,47.68,0.00,0.00,(0.00),0.00
26,"Roofing felt-synthetic- Std. grade- dbl coverage/low slope",0.00,SQ,64.96,0.00,0.00,(0.00),0.00
27,"Roofing felt - synthetic und. - double coverage/low slope",0.00,SQ,84.99,0.00,0.00,(0.00),0.00
28,"Ice & water barrier",0.00,SF,1.63,0.00,0.00,(0.00),0.00
29,"Ice & water barrier - High temp - no material waste incl.",0.00,SF,1.89,0.00,0.00,(0.00),0.00
30,"Ice & water barrier - High temp",0.00,SF,1.93,0.00,0.00,(0.00),0.00
31,"Ice & water barrier - no material waste included",0.00,SF,1.61,0.00,0.00,(0.00),0.00
32,"Asphalt starter - universal starter course",0.00,LF,1.73,0.00,0.00,(0.00),0.00
33,"Asphalt starter - peel and stick",0.00,LF,1.81,0.00,0.00,(0.00),0.00
34,"Asphalt starter - laminated double layer starter",0.00,LF,4.25,0.00,0.00,(0.00),0.00
35,"Add. layer of felt/underlayment, remove (no haul off)",0.00,SQ,7.43,0.00,0.00,(0.00),0.00
36,"Add. layer of felt/underlayment, remove & disp.",0.00,SQ,8.89,0.00,0.00,(0.00),0.00
37,"R&R Gable cornice return - 3 tab",1.00,EA,94.07,0.68,94.75,(0.00),94.75
38,"R&R Gable cornice return - 3 tab - 2 stories or greater",1.00,EA,113.17,0.68,113.85,(0.00),113.85
39,"R&R Gable cornice return - laminated",1.00,EA,94.69,0.74,95.43,(0.00),95.43
40,"R&R Gable cornice return - laminated - 2 stories or greater",1.00,EA,113.79,0.74,114.53,(0.00),114.53
41,"R&R Gable cornice strip - 3 tab",0.00,LF,15.31,0.00,0.00,(0.00),0.00
42,"R&R Gable cornice strip - 3 tab - 2 stories or greater",0.00,LF,17.96,0.00,0.00,(0.00),0.00
43,"R&R Gable cornice strip - laminated",0.00,LF,16.00,0.00,0.00,(0.00),0.00
44,"R&R Gable cornice strip - laminated - 2 stories or greater",0.00,LF,18.65,0.00,0.00,(0.00),0.00
45,"R&R Hip / Ridge cap - High profile - composition shingles",0.00,LF,9.20,0.00,0.00,(0.00),0.00
46,"R&R Hip / Ridge cap - cut from 3 tab - composition shingles",0.00,LF,7.20,0.00,0.00,(0.00),0.00
47,"R&R Hip / Ridge cap - Standard profile - composition shingles",0.00,LF,8.30,0.00,0.00,(0.00),0.00
48,"Continuous ridge vent - Detach & reset",0.00,LF,7.86,0.00,0.00,(0.00),0.00
49,"R&R Continuous ridge vent - shingle-over style",0.00,LF,10.87,0.00,0.00,(0.00),0.00
50,"R&R Continuous ridge vent - aluminum",0.00,LF,10.34,0.00,0.00,(0.00),0.00
51,"R&R Counterflashing - Apron flashing",0.00,LF,11.00,0.00,0.00,(0.00),0.00
52,"R&R Valley metal",0.00,LF,6.81,0.00,0.00,(0.00),0.00
53,"R&R Valley metal - (W) profile",0.00,LF,7.60,0.00,0.00,(0.00),0.00
54,"R&R Flue cap",0.00,EA,168.80,0.00,0.00,(0.00),0.00
55,"R&R Furnace vent - rain cap and storm collar, 6""",0.00,EA,116.16,0.00,0.00,(0.00),0.00
56,"Roof vent - turtle type - Detach & reset",1.00,EA,57.07,0.09,57.16,(0.00),57.16
57,"R&R Roof vent - turtle type - Plastic",1.00,EA,67.76,1.27,69.03,(0.00),69.03
58,"R&R Roof vent - turtle type - Metal",1.00,EA,84.79,2.80,87.59,(0.00),87.59
59,"Roof vent - Detach & reset",1.00,EA,81.29,0.09,81.38,(0.00),81.38
60,"R&R Roof vent - off ridge type - 8'",1.00,EA,260.52,8.58,269.10,(0.00),269.10
61,"R&R Roof vent - off ridge type - 6'",1.00,EA,208.77,7.13,215.90,(0.00),215.90
62,"R&R Roof vent - off ridge type - 4'",1.00,EA,150.88,5.12,156.00,(0.00),156.00
63,"R&R Roof vent - off ridge type - 2'",1.00,EA,96.03,3.36,99.39,(0.00),99.39
64,"R&R Roof vent - dormer type - Metal",1.00,EA,93.87,3.41,97.28,(0.00),97.28
65,"R&R Roof vent - turbine type",1.00,EA,165.13,9.27,174.40,(0.00),174.40
66,"Roof mount power attic vent - Detach & reset",1.00,EA,168.26,0.00,168.26,(0.00),168.26
67,"R&R Roof mount power attic vent - Large",1.00,EA,330.28,17.07,347.35,(0.00),347.35
