Rule Number,Description,Status,Section,Reference Rule Text,Revision Notes,Roof Macro Line Items
1,"Area mismatch → adjust for any variance (>0%)",Revised,"Area & Roof Measurement Discrepancies","1. If measurement report total roof area (SQ/SF) > estimate roof area, adjust estimate to measurement value and recalculate shingle/felt costs proportionally.","Adjust for any variance (>0%), not just >5%.","(Remove Laminated - comp. shingle rfg. - w/out felt + Laminated - comp. shingle rfg. - w/out felt) or (Remove 3 tab - 25 yr. - comp. shingle roofing - w/out felt +  3 tab - 25 yr. - comp. shingle roofing - w/out felt)"
2,"Net vs gross coverage",Needs Discussion,"Area & Roof Measurement Discrepancies","2. If estimate uses gross area but measurement report provides net area (less penetrations), add back penetration area (from report) to ensure full coverage.","",""
3,"Pitch mismatch (adjust if steeper)",Keep,"Area & Roof Measurement Discrepancies","3. Compare predominant pitch: If measurement report pitch (e.g., 7/12 - 9/12) or (10/12 - 12/12 or greater) implies steeper slope than estimate, increase material quantities by 10% for waste/slope factor.","","(Remove Additional charge for steep roof - 7/12 to 9/12 slope + Additional charge for steep roof - 7/12 to 9/12 slope) or (Remove Additional charge for steep roof - 10/12 -12/12 slope + Additional charge for steep roof - 10/12 - 12/12)"
4,"Extra facets (complexity)",Delete,"Area & Roof Measurement Discrepancies","4. If measurement report lists more facets (> estimate facets), add line item for ""additional facet complexity"" at 2-5% of total roof cost.","",""
5,"Eaves longer",Keep,"Area & Roof Measurement Discrepancies","5. If eaves length in measurement > estimate by >10 ft, adjust starter strip/drip edge costs upward proportionally.","",""
6,"Rakes longer",Keep,"Area & Roof Measurement Discrepancies","6. If rakes length in measurement > estimate by >5 ft, add rake starter course if omitted in estimate.","",""
7,"Ridges/hips longer",Keep,"Area & Roof Measurement Discrepancies","7. If ridges/hips total in measurement > estimate, add ridge cap shingle costs (e.g., $2-4/LF) for the difference.","",""
8,"Valleys longer",Keep,"Area & Roof Measurement Discrepancies","8. If valleys length in measurement > estimate, add valley metal/underlayment costs (e.g., $3-5/LF) for the excess.","",""
9,"Attic sq ft → ventilation only (ignore insulation)",Revised,"Area & Roof Measurement Discrepancies","9. If measurement report attic sq ft >0, add ventilation adjustment if estimate omits attic access repairs.","Only ventilation applies; disregard insulation.",""
10,"Multi-story (handled by XM8 steep/height line item)",Deleted,"Area & Roof Measurement Discrepancies","10. If total stories >1 in measurement, add scaffolding/ladder costs (e.g., $500-1,000 flat) if not in estimate.","","Remove Additional charge for high roof + Additional charge for high roof"
11,"More penetrations",Keep,"Area & Roof Measurement Discrepancies","11. If penetration count in measurement > estimate, add flashing/sealing costs per penetration (e.g., $50-100/EA).","",""
12,"Larger penetration perimeter → treat as counterflashing if not step flashing",Revised,"Area & Roof Measurement Discrepancies","12. If penetration perimeter in measurement > estimate, increase step flashing costs by proportional LF. Note there are multiple types of flashing - you should consider any other type of flashing besides step flashing to be counter flashing.","Treat any x-flashing type as counter-flashing if x-flashing is not step-flashing.",""
13,"Waste % mismatch (bolster with math/narrative)",Keep,"Area & Roof Measurement Discrepancies","13. If measurement report waste % (e.g., 10-20%) > estimate waste, recalculate bundles/squares using measurement waste table.","",""
